"","variable","have_condition","N","Total_percent"
"1","DIABDX","Yes",306,0.219512195121951
"2","DIABDX","No",1088,0.780487804878049
"3","HIBPDX","Yes",818,0.586800573888092
"4","HIBPDX","No",576,0.413199426111908
"5","ANGIDX","Yes",54,0.0387374461979914
"6","ANGIDX","No",1340,0.961262553802009
"7","ARTHDX","Yes",822,0.589670014347202
"8","ARTHDX","No",572,0.410329985652798
"9","ASTHDX","Yes",221,0.158536585365854
"10","ASTHDX","No",1173,0.841463414634146
"11","CABLADDR","Yes",3,0.00215208034433285
"12","CABLADDR","No",1391,0.997847919655667
"13","CACERVIX","Yes",21,0.01506456241033
"14","CACERVIX","No",1373,0.98493543758967
"15","CACOLON","Yes",20,0.0143472022955524
"16","CACOLON","No",1374,0.985652797704448
"17","CALUNG","Yes",10,0.00717360114777618
"18","CALUNG","No",1384,0.992826398852224
"19","CALYMPH","Yes",13,0.00932568149210904
"20","CALYMPH","No",1381,0.990674318507891
"21","CAMELANO","Yes",20,0.0143472022955524
"22","CAMELANO","No",1374,0.985652797704448
"23","CASKINDK","Yes",21,0.01506456241033
"24","CASKINDK","No",1373,0.98493543758967
"25","CASKINNM","Yes",38,0.0272596843615495
"26","CASKINNM","No",1356,0.972740315638451
"27","CAUTERUS","Yes",28,0.0200860832137733
"28","CAUTERUS","No",1366,0.979913916786227
"29","CHDDX","Yes",125,0.0896700143472023
"30","CHDDX","No",1269,0.910329985652798
"31","CHOLDX","Yes",773,0.554519368723099
"32","CHOLDX","No",621,0.445480631276901
"33","EMPHDX","Yes",50,0.0358680057388809
"34","EMPHDX","No",1344,0.964131994261119
"35","MIDX","Yes",77,0.0552367288378766
"36","MIDX","No",1317,0.944763271162123
"37","OHRTDX","Yes",311,0.223098995695839
"38","OHRTDX","No",1083,0.776901004304161
"39","STRKDX","Yes",140,0.100430416068867
"40","STRKDX","No",1254,0.899569583931133
"41","IF_2023","Yes",349,0.250358680057389
"42","IF_2023","No",1045,0.749641319942611
"43","IF_2021","Yes",474,0.340028694404591
"44","IF_2021","No",920,0.659971305595409
"45","IF_2017","Yes",382,0.27403156384505
"46","IF_2017","No",1012,0.72596843615495
"47","IF_2015","Yes",189,0.13558106169297
"48","IF_2015","No",1205,0.86441893830703
"49","RACETHX_HISPANIC","Yes",159,0.114060258249641
"50","RACETHX_HISPANIC","No",1235,0.885939741750359
"51","RACETHX_WHITE","Yes",968,0.694404591104735
"52","RACETHX_WHITE","No",426,0.305595408895265
"53","RACETHX_BLACK","Yes",195,0.139885222381636
"54","RACETHX_BLACK","No",1199,0.860114777618364
"55","RACETHX_ASIAN","Yes",46,0.0329985652797704
"56","RACETHX_ASIAN","No",1348,0.96700143472023
"57","RACETHX_OTHER","Yes",26,0.0186513629842181
"58","RACETHX_OTHER","No",1368,0.981348637015782
"59","REGION_NE","Yes",260,0.186513629842181
"60","REGION_NE","No",1134,0.813486370157819
"61","REGION_MW","Yes",306,0.219512195121951
"62","REGION_MW","No",1088,0.780487804878049
"63","REGION_S","Yes",495,0.355093256814921
"64","REGION_S","No",899,0.644906743185079
"65","REGION_W","Yes",333,0.238880918220947
"66","REGION_W","No",1061,0.761119081779053
"67","IF_MARRIED","Yes",621,0.445480631276901
"68","IF_MARRIED","No",773,0.554519368723099
"69","IF_WIDOWED","Yes",365,0.261836441893831
"70","IF_WIDOWED","No",1029,0.738163558106169
"71","IF_DIVORCED","Yes",258,0.185078909612626
"72","IF_DIVORCED","No",1136,0.814921090387374
"73","IF_SEPARATED","Yes",24,0.0172166427546628
"74","IF_SEPARATED","No",1370,0.982783357245337
"75","IF_NEVER_MARRIED","Yes",126,0.0903873744619799
"76","IF_NEVER_MARRIED","No",1268,0.90961262553802
"77","PRIVATE_INS_YR","Yes",752,0.539454806312769
"78","PRIVATE_INS_YR","No",642,0.460545193687231
"79","PUBLIC_INS_YR","Yes",627,0.449784791965567
"80","PUBLIC_INS_YR","No",767,0.550215208034433
"81","UNINSURED_YR","Yes",15,0.0107604017216643
"82","UNINSURED_YR","No",1379,0.989239598278336
